pts,lat,lon,A,B,C,D,E,F,G,H
7,37.429619,-122.172742,,,,,next,next,,
7,37.428962,-122.169714,,,,,next,next,,
7,37.42815,-122.169829,,,,,next,next,,
7,37.428039,-122.170084,,,,,next,next,,
7,37.427907,-122.169979,,,,,next,next,,
7,37.428039,-122.170084,,,,,next,next,,
7,37.427377,-122.170301,,,,,next,next,,
