pts,lat,lon,A,B,C,D,E,F,G,H
5,37.428962,-122.169714,,,,,,,next,
5,37.429619,-122.172742,,,,,,,next,
5,37.429332,-122.173159,,,,,,,next,
5,37.428178,-122.17354,,,,,,,next,
5,37.428404,-122.174613,,,,,,,next,
