pts,lat,lon,gates_hewlett,gates_packard,hewlett_gates,hewlett_packard,packard_gates,packard_hewlett
4,37.42979,-122.173209,,,,,next,next
4,37.429658,-122.173247,,,,,next,next
4,37.429573,-122.17315,,,,,next,next
4,37.429092,-122.173313,,,,,next,next
